filename,filepath,author,creation_raw,creation,mod_raw,modification,error
Bol.-6621-Bis-MD-03.02.2025.pdf,Bol.-6621-Bis-MD-03.02.2025.pdf,Lucia Dume,D:20250203103228-03'00',2025-02-03T10:32:28-03:00,D:20250203103228-03'00',2025-02-03T10:32:28-03:00,
Bol.-6623-06.02.2025.pdf,Bol.-6623-06.02.2025.pdf,,,,,,
Bol.-6623-Bis-II-11.02.2025.pdf,Bol.-6623-Bis-II-11.02.2025.pdf,Lucia Dume,D:20250211142824-03'00',2025-02-11T14:28:24-03:00,D:20250211142824-03'00',2025-02-11T14:28:24-03:00,
Bol.-6623-Bis-MD-10.02.2025-.docx.pdf,Bol.-6623-Bis-MD-10.02.2025-.docx.pdf,,,,,,
Bol.-6626-Bis-II-MD-15.02.2025.pdf,Bol.-6626-Bis-II-MD-15.02.2025.pdf,Lucia Dume,D:20250214174652-03'00',2025-02-14T17:46:52-03:00,D:20250214174652-03'00',2025-02-14T17:46:52-03:00,
Bol.-6626-Bis-MD-14.02.2025.pdf,Bol.-6626-Bis-MD-14.02.2025.pdf,Lucia Dume,D:20250214160404-03'00',2025-02-14T16:04:04-03:00,D:20250214160404-03'00',2025-02-14T16:04:04-03:00,
Bol.-6633-Bis-25.02.2025.pdf,Bol.-6633-Bis-25.02.2025.pdf,,,,,,
Bol.-6635-27.02.2025-(1).pdf,Bol.-6635-27.02.2025-(1).pdf,Lucia Dume,D:20250227154206-03'00',2025-02-27T15:42:06-03:00,D:20250227154206-03'00',2025-02-27T15:42:06-03:00,
Bol.-6635-Bis-MD-05.03.2025.docx-(1).pdf,Bol.-6635-Bis-MD-05.03.2025.docx-(1).pdf,,,,,,
Bol.-6638-06.03.2025.pdf,Bol.-6638-06.03.2025.pdf,Lucia Dume,D:20250306172839-03'00',2025-03-06T17:28:39-03:00,D:20250306172839-03'00',2025-03-06T17:28:39-03:00,
Bol.-6638-Bis-II-11.03.2025.pdf,Bol.-6638-Bis-II-11.03.2025.pdf,,,,,,
Bol.-6638-Bis-MD-10.03.2025.pdf,Bol.-6638-Bis-MD-10.03.2025.pdf,,,,,,
Bol.-6642-13.03.2025.pdf,Bol.-6642-13.03.2025.pdf,Lucia Dume,D:20250313172904-03'00',2025-03-13T17:29:04-03:00,D:20250313172904-03'00',2025-03-13T17:29:04-03:00,
Bol.-6642-Bis-II-18.03.2025.pdf,Bol.-6642-Bis-II-18.03.2025.pdf,,,,,,
Bol.-6642-Bis-MD-14.03.2025.pdf,Bol.-6642-Bis-MD-14.03.2025.pdf,,,,,,
Bol.-6645-20.03.2025.pdf,Bol.-6645-20.03.2025.pdf,Lucia Dume,D:20250320172026-03'00',2025-03-20T17:20:26-03:00,D:20250320172026-03'00',2025-03-20T17:20:26-03:00,
Bol.-6645-Bis-II-25.03.2025.pdf,Bol.-6645-Bis-II-25.03.2025.pdf,,,,,,
Bol.-6645-Bis-III-MD-26.03.2025.pdf,Bol.-6645-Bis-III-MD-26.03.2025.pdf,,,,,,
Bol.-6645-Bis-MD-21.03.2025.pdf,Bol.-6645-Bis-MD-21.03.2025.pdf,,,,,,
Bol.-6654-Bis-II-31.03.2025.pdf,Bol.-6654-Bis-II-31.03.2025.pdf,,,,,,
Bol.-6654-Bis-MD-28.03.2025.docx.pdf,Bol.-6654-Bis-MD-28.03.2025.docx.pdf,,,,,,
Bol.-6662--03.04.2025.pdf,Bol.-6662--03.04.2025.pdf,Lucia Dume,D:20250403173847-03'00',2025-04-03T17:38:47-03:00,D:20250403173847-03'00',2025-04-03T17:38:47-03:00,
Bol.-6662-Bis-MD-04.04.2025.pdf,Bol.-6662-Bis-MD-04.04.2025.pdf,,,,,,
Bol.-6670-08.04.2025.pdf,Bol.-6670-08.04.2025.pdf,Lucia Dume,D:20250408153905-03'00',2025-04-08T15:39:05-03:00,D:20250408153905-03'00',2025-04-08T15:39:05-03:00,
Bol.-6677-15.04.2025.pdf,Bol.-6677-15.04.2025.pdf,Lucia Dume,D:20250415172542-03'00',2025-04-15T17:25:42-03:00,D:20250415172542-03'00',2025-04-15T17:25:42-03:00,
Bol.-6677-Bis-II-22.04.2025.pdf,Bol.-6677-Bis-II-22.04.2025.pdf,,,,,,
Bol.-6677-Bis-MD-18.04.2025.pdf,Bol.-6677-Bis-MD-18.04.2025.pdf,Lucia Dume,D:20250418143523-03'00',2025-04-18T14:35:23-03:00,D:20250418143523-03'00',2025-04-18T14:35:23-03:00,
Bol.-6680-Bis-MD-28.04.2025.pdf,Bol.-6680-Bis-MD-28.04.2025.pdf,,,,,,
Bol.-6682-Bis-III-MD-06.05.2025.pdf,Bol.-6682-Bis-III-MD-06.05.2025.pdf,,,,,,
Bol.-6682-Bis-MD-30.04.2025.pdf,Bol.-6682-Bis-MD-30.04.2025.pdf,,,,,,
Bol.-6687-08.05.2025.pdf,Bol.-6687-08.05.2025.pdf,Lucia Dume,D:20250508175704-03'00',2025-05-08T17:57:04-03:00,D:20250508175704-03'00',2025-05-08T17:57:04-03:00,
Bol.-6687-Bis-MD-12.05.2025.pdf,Bol.-6687-Bis-MD-12.05.2025.pdf,,,,,,
Bol.-6690-15.05.2025.pdf,Bol.-6690-15.05.2025.pdf,Lucia Dume,D:20250515173712-03'00',2025-05-15T17:37:12-03:00,D:20250515173712-03'00',2025-05-15T17:37:12-03:00,
Bol.-6690-Bis-MD-20.05.2025.pdf,Bol.-6690-Bis-MD-20.05.2025.pdf,Lucia Dume,D:20250520151619-03'00',2025-05-20T15:16:19-03:00,D:20250520151619-03'00',2025-05-20T15:16:19-03:00,
Bol.-6694-22.05.2025.pdf,Bol.-6694-22.05.2025.pdf,Lucia Dume,D:20250522170541-03'00',2025-05-22T17:05:41-03:00,D:20250522170541-03'00',2025-05-22T17:05:41-03:00,
Bol.-6694-Bis-MD-27.05.2025.docx.pdf,Bol.-6694-Bis-MD-27.05.2025.docx.pdf,,,,,,
Bol.-6697--29.05.2025.pdf,Bol.-6697--29.05.2025.pdf,Lucia Dume,D:20250529180024-03'00',2025-05-29T18:00:24-03:00,D:20250529180024-03'00',2025-05-29T18:00:24-03:00,
Bol.-6697-Bis-MD-30.05.2025.docx.pdf,Bol.-6697-Bis-MD-30.05.2025.docx.pdf,,,,,,
Bol.-6706-12.06.2025.pdf,Bol.-6706-12.06.2025.pdf,Lucia Dume,D:20250612173358-03'00',2025-06-12T17:33:58-03:00,D:20250612173358-03'00',2025-06-12T17:33:58-03:00,
Bol.-6708-ok-18.06.2025-.docx.pdf,Bol.-6708-ok-18.06.2025-.docx.pdf,,,,,,
Bol.-6710-26.06.2025-.pdf,Bol.-6710-26.06.2025-.pdf,Lucia Dume,D:20250626175611-03'00',2025-06-26T17:56:11-03:00,D:20250626175611-03'00',2025-06-26T17:56:11-03:00,
Bol.-6715-03.07.2025-.pdf,Bol.-6715-03.07.2025-.pdf,Lucia Dume,D:20250703175359-03'00',2025-07-03T17:53:59-03:00,D:20250703175359-03'00',2025-07-03T17:53:59-03:00,
Bol.-6715-Bis-07.07.2025.pdf,Bol.-6715-Bis-07.07.2025.pdf,,,,,,
Bol.-6749-03_09.pdf,Bol.-6749-03_09.pdf,,,,,,
Bol.-6751-11_09.pdf,Bol.-6751-11_09.pdf,,,,,,
Bol.-6755-18_09-1.pdf,Bol.-6755-18_09-1.pdf,,,,,,
Bol.-6777--23_10.pdf,Bol.-6777--23_10.pdf,,,,,,
Bol.-6787--06_11.pdf,Bol.-6787--06_11.pdf,Lucia Dume,D:20251106171538-03'00',2025-11-06T17:15:38-03:00,D:20251106171538-03'00',2025-11-06T17:15:38-03:00,
Bol._6507.pdf,Bol._6507.pdf,Microsoft Office User,D:20240618193328-03'00',2024-06-18T19:33:28-03:00,D:20240618193328-03'00',2024-06-18T19:33:28-03:00,
Boletin-02_10---n-6763-.docx.pdf,Boletin-02_10---n-6763-.docx.pdf,,,,,,
Boletin-18.07.2024.pdf,Boletin-18.07.2024.pdf,Microsoft Office User,D:20240718194844-03'00',2024-07-18T19:48:44-03:00,D:20240718194844-03'00',2024-07-18T19:48:44-03:00,
Boletin-6514.pdf,Boletin-6514.pdf,Microsoft Office User,D:20240704185110-03'00',2024-07-04T18:51:10-03:00,D:20240704185110-03'00',2024-07-04T18:51:10-03:00,
Boletin-6520.pdf,Boletin-6520.pdf,Microsoft Office User,D:20240711184537-03'00',2024-07-11T18:45:37-03:00,D:20240711184537-03'00',2024-07-11T18:45:37-03:00,
Boletin-6530.pdf,Boletin-6530.pdf,Microsoft Office User,D:20240725184043-03'00',2024-07-25T18:40:43-03:00,D:20240725184043-03'00',2024-07-25T18:40:43-03:00,
Boletin-6534.pdf,Boletin-6534.pdf,Microsoft Office User,D:20240801183505-03'00',2024-08-01T18:35:05-03:00,D:20240801183505-03'00',2024-08-01T18:35:05-03:00,
Boletin-6537.pdf,Boletin-6537.pdf,Microsoft Office User,D:20240808191330-03'00',2024-08-08T19:13:30-03:00,D:20240808191330-03'00',2024-08-08T19:13:30-03:00,
Boletin-6540.pdf,Boletin-6540.pdf,Microsoft Office User,D:20240815185029-03'00',2024-08-15T18:50:29-03:00,D:20240815185029-03'00',2024-08-15T18:50:29-03:00,
Boletin-6543.pdf,Boletin-6543.pdf,Microsoft Office User,D:20240822193721-03'00',2024-08-22T19:37:21-03:00,D:20240822193721-03'00',2024-08-22T19:37:21-03:00,
Boletin-6547....pdf,Boletin-6547....pdf,Microsoft Office User,D:20240829200650-03'00',2024-08-29T20:06:50-03:00,D:20240829220334-03'00',2024-08-29T22:03:34-03:00,
Boletin-6551-BIS.pdf,Boletin-6551-BIS.pdf,Microsoft Office User,D:20240905154549-03'00',2024-09-05T15:45:49-03:00,D:20240905154549-03'00',2024-09-05T15:45:49-03:00,
Boletin-6551.pdf,Boletin-6551.pdf,Microsoft Office User,D:20240903181940-03'00',2024-09-03T18:19:40-03:00,D:20240903181940-03'00',2024-09-03T18:19:40-03:00,
Boletin-6555.pdf,Boletin-6555.pdf,Microsoft Office User,D:20240912201656-03'00',2024-09-12T20:16:56-03:00,D:20240912201656-03'00',2024-09-12T20:16:56-03:00,
Boletin-6557.pdf,Boletin-6557.pdf,Microsoft Office User,D:20240919193018-03'00',2024-09-19T19:30:18-03:00,D:20240919193018-03'00',2024-09-19T19:30:18-03:00,
Boletin-6560.pdf,Boletin-6560.pdf,Microsoft Office User,D:20240926202217-03'00',2024-09-26T20:22:17-03:00,D:20240926202217-03'00',2024-09-26T20:22:17-03:00,
Boletin-6565-BIS.pdf,Boletin-6565-BIS.pdf,Microsoft Office User,D:20240905154549-03'00',2024-09-05T15:45:49-03:00,D:20241004111401-03'00',2024-10-04T11:14:01-03:00,
Boletin-6572-Bis--ok.pdf,Boletin-6572-Bis--ok.pdf,,D:20241018212142Z00'00',2024-10-18T21:21:42Z,D:20241018212142Z00'00',2024-10-18T21:21:42Z,
Boletin-6575.pdf,Boletin-6575.pdf,Microsoft Office User,D:20241024190130-03'00',2024-10-24T19:01:30-03:00,D:20241024190130-03'00',2024-10-24T19:01:30-03:00,
Boletin-6578.pdf,Boletin-6578.pdf,Microsoft Office User,D:20241031184709-03'00',2024-10-31T18:47:09-03:00,D:20241031184709-03'00',2024-10-31T18:47:09-03:00,
Boletin-6583-Bis.pdf,Boletin-6583-Bis.pdf,Microsoft Office User,D:20241108210933-03'00',2024-11-08T21:09:33-03:00,D:20241108210933-03'00',2024-11-08T21:09:33-03:00,
Boletin-6583.pdf,Boletin-6583.pdf,Microsoft Office User,D:20241107193508-03'00',2024-11-07T19:35:08-03:00,D:20241107193508-03'00',2024-11-07T19:35:08-03:00,
Boletin-6588.pdf,Boletin-6588.pdf,Microsoft Office User,D:20241114192243-03'00',2024-11-14T19:22:43-03:00,D:20241114192243-03'00',2024-11-14T19:22:43-03:00,
Boletin-6591.pdf,Boletin-6591.pdf,Microsoft Office User,D:20241121183936-03'00',2024-11-21T18:39:36-03:00,D:20241121183936-03'00',2024-11-21T18:39:36-03:00,
Boletin-6594.pdf,Boletin-6594.pdf,Microsoft Office User,D:20241128185311-03'00',2024-11-28T18:53:11-03:00,D:20241128185311-03'00',2024-11-28T18:53:11-03:00,
Boletin-6597.pdf,Boletin-6597.pdf,Microsoft Office User,D:20241205184105-03'00',2024-12-05T18:41:05-03:00,D:20241205184105-03'00',2024-12-05T18:41:05-03:00,
Boletin-6600-bis-13-12-2024-.pdf,Boletin-6600-bis-13-12-2024-.pdf,,,,,,
Boletin-6600.pdf,Boletin-6600.pdf,Microsoft Office User,D:20241212183126-03'00',2024-12-12T18:31:26-03:00,D:20241212183126-03'00',2024-12-12T18:31:26-03:00,
Boletin-6602.pdf,Boletin-6602.pdf,Microsoft Office User,D:20241219182139-03'00',2024-12-19T18:21:39-03:00,D:20241219182139-03'00',2024-12-19T18:21:39-03:00,
Boletin-6718-Bis-II.pdf,Boletin-6718-Bis-II.pdf,,,,,,
